" Population by Age Group, by Sex and by Region: 2015",,,,,,,,,
,,,,,,,,,
Region/Age Group,Both Sexes,Male,Female,,Region/Age Group,Both Sexes,Male,Female,
60-64,"395,471","185,643","209,828",,60-64,"76,883","38,372","38,511",
65-69,"262,170","116,370","145,800",,65-69,"54,733","25,914","28,819",
70-74,"152,773","62,497","90,276",,70-74,"36,722","16,352","20,370",
75-79,"104,806","39,042","65,764",,75-79,"25,687","10,373","15,314",
80 years and over,"91,940","27,870","64,070",,80 years and over,"23,130","8,129","15,001",
,,,,,,,,,
V - Bicol Region,"5,796,989","2,951,135","2,845,854",,VI - Western Visayas,"7,536,383","3,830,514","3,705,869",
,,,,,,,,,
Under 1,"129,356","67,608","61,748",,Under 1,"145,425","75,123","70,302",
01-Apr,"557,274","288,973","268,301",,01-Apr,"619,015","321,134","297,881",
05-Sep,"705,946","365,352","340,594",,05-Sep,"786,406","407,139","379,267",
Oct-14,"708,763","366,391","342,372",,Oct-14,"767,684","396,141","371,543",
15-19,"626,147","326,702","299,445",,15-19,"747,712","386,425","361,287",
20-24,"487,018","251,588","235,430",,20-24,"687,080","354,815","332,265",
25-29,"401,138","206,831","194,307",,25-29,"596,409","311,848","284,561",
30-34,"358,015","184,661","173,354",,30-34,"522,127","274,691","247,436",
35-39,"339,814","174,463","165,351",,35-39,"473,384","248,647","224,737",
40-44,"300,568","153,674","146,894",,40-44,"423,809","220,066","203,743",
45-49,"283,743","144,711","139,032",,45-49,"399,381","203,980","195,401",
50-54,"240,351","121,684","118,667",,50-54,"353,754","178,078","175,676",
55-59,"200,418","99,482","100,936",,55-59,"301,886","148,371","153,515",
60-64,"156,772","74,993","81,779",,60-64,"240,535","114,257","126,278",
65-69,"116,952","52,799","64,153",,65-69,"171,973","77,030","94,943",
70-74,"80,762","34,151","46,611",,70-74,"121,228","50,296","70,932",
75-79,"54,908","21,158","33,750",,75-79,"91,017","34,203","56,814",
80 years and over,"49,044","15,914","33,130",,80 years and over,"87,558","28,270","59,288",
,,,,,,,,,
,,,,,,,,Continued,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TABLE 1.8 --Continued,,,,,,,,,
,,,,,,,,,
Region/Age Group,Both Sexes,Male,Female,,Region/Age Group,Both Sexes,Male,Female,
,,,,,,,,,
VII - Central Visayas,"7,396,898","3,743,601","3,653,297",,VIII - Eastern Visayas,"4,440,150","2,285,355","2,154,795",
,,,,,,,,,
Under 1,"162,763","84,315","78,448",,Under 1,"95,543","49,965","45,578",
01-Apr,"650,717","336,835","313,882",,01-Apr,"403,530","209,055","194,475",
05-Sep,"805,114","415,422","389,692",,05-Sep,"508,998","263,853","245,145",
Oct-14,"771,030","397,281","373,749",,Oct-14,"513,551","265,458","248,093",
15-19,"728,697","373,778","354,919",,15-19,"487,753","255,480","232,273",
20-24,"688,915","349,544","339,371",,20-24,"393,853","206,405","187,448",
25-29,"601,759","307,753","294,006",,25-29,"313,629","164,589","149,040",
30-34,"521,584","268,783","252,801",,30-34,"273,749","144,188","129,561",
35-39,"467,901","240,525","227,376",,35-39,"257,230","134,422","122,808",
40-44,"413,989","211,598","202,391",,40-44,"236,541","123,477","113,064",
45-49,"372,302","188,493","183,809",,45-49,"219,637","113,714","105,923",
50-54,"324,721","162,712","162,009",,50-54,"190,622","98,084","92,538",
55-59,"268,442","132,562","135,880",,55-59,"161,670","82,247","79,423",
60-64,"216,145","103,263","112,882",,60-64,"125,877","62,273","63,604",
65-69,"151,067","69,476","81,591",,65-69,"97,164","45,520","51,644",
70-74,"106,498","46,163","60,335",,70-74,"70,118","31,281","38,837",
75-79,"75,490","30,249","45,241",,75-79,"47,737","19,733","28,004",
80 years and over,"69,764","24,849","44,915",,80 years and over,"42,948","15,611","27,337",
,,,,,,,,,
IX - Western Mindanao,"3,629,783","1,850,878","1,778,905",,X - Northern Mindanao,"4,689,302","2,396,000","2,293,302",
,,,,,,,,,
Under 1,"81,826","42,238","39,588",,Under 1,"103,417","53,602","49,815",
01-Apr,"347,313","178,874","168,439",,01-Apr,"443,717","229,065","214,652",
05-Sep,"426,976","219,553","207,423",,05-Sep,"540,552","278,685","261,867",
Oct-14,"407,767","209,593","198,174",,Oct-14,"509,950","261,680","248,270",
15-19,"386,524","197,177","189,347",,15-19,"480,062","245,191","234,871",
20-24,"339,502","172,406","167,096",,20-24,"436,995","223,150","213,845",
25-29,"277,763","142,400","135,363",,25-29,"383,203","199,051","184,152",
30-34,"235,015","121,563","113,452",,30-34,"317,383","165,628","151,755",
35-39,"219,601","113,481","106,120",,35-39,"292,395","152,163","140,232",
40-44,"198,421","102,086","96,335",,40-44,"257,235","133,106","124,129",
45-49,"179,642","92,106","87,536",,45-49,"233,050","119,102","113,948",
50-54,"153,170","78,527","74,643",,50-54,"199,915","101,440","98,475",
55-59,"121,729","61,581","60,148",,55-59,"163,434","82,165","81,269",
60-64,"94,589","47,171","47,418",,60-64,"124,663","61,658","63,005",
65-69,"63,479","30,200","33,279",,65-69,"81,761","39,270","42,491",
70-74,"42,401","19,544","22,857",,70-74,"51,845","23,201","28,644",
75-79,"28,307","12,281","16,026",,75-79,"37,262","15,655","21,607",
80 years and over,"25,758","10,097","15,661",,80 years and over,"32,463","12,188","20,275",
,,,,,,,,,
,,,,,,,,,
XI  Davao Region,"4,893,318","2,514,244","2,379,074",,XII  SOCCSKSARGEN,"4,545,276","2,323,144","2,222,132",
,,,,,,,,,
Under 1,"103,911","53,447","50,464",,Under 1,"102,506","52,715","49,791",
01-Apr,"434,443","224,364","210,079",,01-Apr,"429,084","221,239","207,845",
05-Sep,"535,293","276,333","258,960",,05-Sep,"525,893","271,269","254,624",
Oct-14,"505,296","259,257","246,039",,Oct-14,"496,412","254,372","242,040",
15-19,"492,813","250,352","242,461",,15-19,"478,761","241,798","236,963",
20-24,"467,052","238,285","228,767",,20-24,"436,120","220,610","215,510",
25-29,"422,657","220,272","202,385",,25-29,"382,347","197,311","185,036",
30-34,"354,639","187,134","167,505",,30-34,"321,367","167,039","154,328",
35-39,"319,076","168,880","150,196",,35-39,"297,171","154,564","142,607",
40-44,"279,180","146,941","132,239",,40-44,"258,198","134,440","123,758",
,,,,,,,,,
,,,,,,,,Continued,
TABLE 1.8 --Concluded,,,,,,,,,
,,,,,,,,,
Region/Age Group,Both Sexes,Male,Female,,Region/Age Group,Both Sexes,Male,Female,
,,,,,,,,,
